id,Case Number,Date,Year,Type,Country,Area,Location,Fatal,original_order,Latitude,Longitude
35,1961.04.03,03--Apr--61,1961,Unprovoked,AUSTRALIA,Victoria,Flinders Island,N,2394,-38.473312,145.0187057
36,1961.04.00,Apr--61,1961,Provoked,AUSTRALIA,Western Australia,Rottnest Island,N,2393,-32.0070095,115.5205270906
37,1961.03.30,30--Mar--61,1961,Unprovoked,AUSTRALIA,South Australia,Glenelg Breakwater,N,2392,-34.7830806,138.48056865
38,1961.03.18,18--Mar--61,1961,Unprovoked,AUSTRALIA,Victoria,Lady Beach at Warrnambool,N,2391,-34.911945,138.49545251
39,1961.03.14,14--Mar--61,1961,Provoked,AUSTRALIA,Western Australia,Shark Bay,N,2390,-25.52149,113.6167
40,1961.03.12,12--Mar--61,1961,Unprovoked,AUSTRALIA,South Australia,Aldinga Beach,N,2389,-35.279293,138.4604028
41,1961.02.17.a,17--Feb--61,1961,Unprovoked,AUSTRALIA,Victoria,Mount Martha Beach,N,2384,-38.256547,145.024814
42,1961.02.01.a,01--Feb--61,1961,Unprovoked,AUSTRALIA,Western Australia,Carnac Island,N,2380,-32.121607,115.6625347608
43,1961.01.15,15--Jan--61,1961,Provoked,AUSTRALIA,New South Wales,Cook Island,N,2376,-28.19538185,153.5777904251
44,1961.01.06.a,06--Jan--61,1961,Provoked,AUSTRALIA,Northern Territory,"Stokes Hill Wharf, Darwin",N,2373,-12.4702113,130.8496215689
45,1961.01.02.R,Reported 02--Jan--1961,1961,Boat,AUSTRALIA,Tasmania,Off Tasman Island,N,2369,-23.94564089,151.34958757
46,1961.00.00.e,1961,1961,Boat,AUSTRALIA,New South Wales,South coast,N,2368,-35.31376452,149.13642861
47,1960.12.27.a.,27--Dec--60,1960,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney", N,2362,-33.8906977,151.2724119
48,1960.12.20,20--Dec--60,1960,Unprovoked,AUSTRALIA,Queensland,"College’s Crossing, 54 miles above mouth of the Brisbane River", N,2360,-29.04180257,152.01244029
49,1960.12.01,01--Dec--60,1960,Unprovoked,AUSTRALIA,Queensland,"Colledge's Crossing, Brisbane River",N,2359,-27.59628911,152.8907197
50,1960.11.27,27--Nov--60,1960,Unprovoked,AUSTRALIA,Queensland,"Black’s Beach, 9 miles north of Mackay", N,2358,-34.9723073,138.51776501
51,1960.11.11,11--Nov--60,1960,Provoked,AUSTRALIA,Queensland,"Scott’s Point, Redcliffe Peninsula", N,2356,-35.21574855,143.44662666
52,1960.11.06,06--Nov--60,1960,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay, N,2355,-34.2202758,115.0313474
53,1960.10.02,01--Oct--60,1960,Invalid,AUSTRALIA,New South Wales,North Head,NULL,2349,-33.2815666,151.5791457
54,1960.09.18,18--Sep--60,1960,Boat,AUSTRALIA,Western Australia,Frenchman Bay,N,2341,-35.0797772,117.9568368
55,1960.04.22,22--Apr--60,1960,Provoked,AUSTRALIA,Western Australia,Rottnest Island,N,2308,-32.0070095,115.5205270906
56,1960.04.12,12--Apr--60,1960,Unprovoked,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",N,2305,-30.88312835,153.040037149
57,1960.04.10,10--Apr--60,1960,Provoked,AUSTRALIA,Western Australia,Off Rottnest Island,N,2304,-31.94967961,115.86193337
58,1960.04.03.b,03--Apr--60,1960,Unprovoked,AUSTRALIA,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",N,2303,-38.175285,145.082569
59,1960.04.03.a,03--Apr--60,1960,Unprovoked,AUSTRALIA,New South Wales,Off Broughton Island near Port Stephens,N,2302,-35.31376452,149.13642861
60,1960.04.01,01--Apr--60,1960,Provoked,AUSTRALIA,South Australia,Hog Bay,N,2301,-34.7826275,138.48206723
61,1960.02.29,29--Feb--60,1960,Unprovoked,AUSTRALIA,Tasmania,Ralph Bay,N,2295,-42.9009655,147.4494501
62,1960.02.10.,10--Feb--60,1960,Provoked,AUSTRALIA,New South Wales,Near Bondi Beach,N,2290,-33.8906977,151.2724119
63,1960.02.07,07--Feb--60,1960,Provoked,AUSTRALIA,New South Wales,Wattamolla National Park,N,2289,-34.1406728,151.1183417
64,1960.01.21,21--Jan--60,1960,Boat,AUSTRALIA,South Australia,Millicent,N,2285,-37.5949379,140.3526512
65,1960.01.16,16--Jan--60,1960,Unprovoked,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",Y,2284,-35.31376452,149.13642861
66,1960.01.13,13--Jan--60,1960,Provoked,AUSTRALIA,Western Australia,Geraldton,N,2283,-28.77035,114.6147159
100,1956.08.15.b,15--Aug--56,1956,Provoked,AUSTRALIA,Queensland,Near Southport,N,2067,-27.9687807,153.4066696
101,1956.06.28,28--Jun--56,1956,Unprovoked,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ",N,2054,-10.58325428,142.21634123
102,1956.05.00,May--56,1956,Unprovoked,AUSTRALIA,Torres Strait,NULL,N,2049,-10.416667,142.166667
103,1956.03.11,11--Mar--56,1956,Unprovoked,AUSTRALIA,New South Wales,"Cronulla, near Sydney",N,2047,-34.0575259,151.1523851
104,1956.03.04,04--Mar--56,1956,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay",Y,2046,-38.170838,145.134524
105,1956.03.00.b,Mar--56,1956,Unprovoked,AUSTRALIA,Western Australia,Fremantle,N,2045,-32.0558714,115.7461693
106,1956.02.26,26--Feb--56,1956,Unprovoked,AUSTRALIA,Queensland,Pioneer River near Mackay,Y,2044,-23.96461352,151.33255113
107,1956.02.10.R,Reported 10--Feb--1956,1956,Unprovoked,AUSTRALIA,Victoria,Cowes,N,2043,-38.4502447,145.2389787
108,1956.01.16.R,Reported 16--Jan--1956,1956,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,N,2042,-10.58325428,142.21634123
109,1956.01.05,05--Jan--56,1956,Unprovoked,AUSTRALIA,New South Wales,North Bondi,N,2040,-33.882351,151.2768611
110,1955.12.31,Reported 31--Dec--1955,1955,Boating,AUSTRALIA,Tasmania,NULL,N,2031,-42.14220555,146.6723517878
111,1955.10.16,16--Oct--55,1955,Provoked,AUSTRALIA,Queensland,"Tully, North Queensland",N,2027,-17.9329498,145.9272624
112,1955.08.00.a,Aug--55,1955,Boating,AUSTRALIA,South Australia,Port Augusta,N,2015,-32.4908819,137.7639874
113,1955.03.09,09--Mar--55,1955,Unprovoked,AUSTRALIA,New South Wales,Wamberal,Y,2005,-33.431813,151.4427676
114,1955.03.00.a,Mar--55,1955,Provoked,AUSTRALIA,Western Australia,Woodman’s Point,N,2003,-31.94967961,115.86193337
115,1955.02.05,05--Feb--55,1955,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",Y,2000,-35.31376452,149.13642861
116,1955.02.01.,01--Feb--55,1955,Boating,AUSTRALIA,New South Wales,Parramatta River,N,1998,-33.826842,151.097077349
117,1955.02.00,Feb--55,1955,Boating,AUSTRALIA,New South Wales,Coff’s Harbor,N,1997,-35.31376452,149.13642861
118,1955.01.17,17--Jan--55,1955,Unprovoked,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",Y,1996,-28.17088728,153.46197927
119,1954.12.11,11--Dec--54,1954,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Y,1987,-38.2725073,144.6136725
120,1954.09.04,04--Sep--54,1954,Unprovoked,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait",Y,1977,-10.58325428,142.21634123
121,1954.06.27,27--Jun--54,1954,Unprovoked,AUSTRALIA,Queensland,Fitzroy Island,N,1964,-34.8968952,138.5922848
122,1954.02.27,27--Feb--54,1954,Unprovoked,AUSTRALIA,New South Wales,"The Entrance, near Gosford",Y,1958,-35.31470776,149.13304392
123,1954.01.30,30--Jan--54,1954,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,N,1957,-33.465,151.4344444
124,1954.01.22.b,22--Jan--54,1954,Unprovoked,AUSTRALIA,Torres Strait,Naghir Island,N,1956,-10.58325428,142.21634123
125,1953.12.13,13--Dec--53,1953,Unprovoked,AUSTRALIA,Queensland,Palm Beach,N,1944,-28.1194259,153.4702686
126,1953.12.00,Dec--53,1953,Unprovoked,AUSTRALIA,New South Wales,Maroubra Beach,N,1943,-33.9496372,151.2567007458
127,1953.10.00,Oct--53,1953,Provoked,AUSTRALIA,New South Wales,"Boat Harbour, north of Cronulla",N,1942,-37.81571553,144.97003273
128,1953.06.00,Jun--53,1953,Provoked,AUSTRALIA,Queensland,NULL,N,1927,-21.9182856,144.4588889
129,1953.04.07,07--Apr--53,1953,Boating,AUSTRALIA,New South Wales,1.5 miles off shore,N,1926,-35.31376452,149.13642861
130,1953.03.22,Mar--53,1953,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, Collaroy",N,1922,-33.7423583,151.3180564
131,1953.03.19.R,Reported 19--Mar--1953,1953,Unprovoked,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",N,1921,-34.7826275,138.48206723
132,1953.02.15,15--Feb--53,1953,Unprovoked,AUSTRALIA,New South Wales,Cave at Shell Harbour,N,1917,-35.31376452,149.13642861
167,1949.08.28.b,28--Aug--49,1949,Unprovoked,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,N,1802,-16.8233039,145.68952523
